booking_code,booking_received_at,booking_pushed_at,latency_interval,latency_in_seconds
GXM2503062ZM6CS9Y,2025-03-06T13:15:03.542,2025-03-06T13:16:00.132,0 years 0 mons 0 days 0 hours 0 mins 56.59 secs,56.590000
GXM250306DY2OUWMO,2025-03-06T14:23:00.943,2025-03-06T14:24:00.174,0 years 0 mons 0 days 0 hours 0 mins 59.231 secs,59.231000
GXM250306HQ_M0XY8,2025-03-06T16:27:27.732,2025-03-06T16:28:00.132,0 years 0 mons 0 days 0 hours 0 mins 32.40 secs,32.400000
GXM250306CYZ5JN-8,2025-03-06T16:25:35.469,2025-03-06T16:26:00.124,0 years 0 mons 0 days 0 hours 0 mins 24.655 secs,24.655000
GXM250306GFBGENT0,2025-03-06T16:29:32.586,2025-03-06T16:30:00.219,0 years 0 mons 0 days 0 hours 0 mins 27.633 secs,27.633000
GXM250306AEBRO4VR,2025-03-06T16:32:34.348,2025-03-06T16:33:00.159,0 years 0 mons 0 days 0 hours 0 mins 25.811 secs,25.811000
GXM250306S-Y_IPKQ,2025-03-06T16:34:59.634,2025-03-06T16:35:00.128,0 years 0 mons 0 days 0 hours 0 mins 0.494 secs,0.494000
GXM250310H5EWHT8H,2025-03-10T10:49:04.686,2025-03-10T10:50:00.144,0 years 0 mons 0 days 0 hours 0 mins 55.458 secs,55.458000
GXM250307GNDBFJ26,2025-03-07T07:40:11.679,2025-03-07T07:41:00.129,0 years 0 mons 0 days 0 hours 0 mins 48.45 secs,48.450000
NH78223389779924,2025-03-08T08:28:07.964,2025-03-08T08:29:00.187,0 years 0 mons 0 days 0 hours 0 mins 52.223 secs,52.223000
GXM250308JAS-WA14,2025-03-08T11:32:49.534,2025-03-08T11:33:00.24,0 years 0 mons 0 days 0 hours 0 mins 10.706 secs,10.706000
GXM250311WAMHD6LN,2025-03-11T13:39:28.813,2025-03-11T13:40:00.169,0 years 0 mons 0 days 0 hours 0 mins 31.356 secs,31.356000
